Brand,processor_brand,processor_series,processor_tier,ram,storage,screen_size,display_type,gpu_brand,gpu_model,vram,prices
Lenovo,Intel,Core i,i5,16,512GB,15.3,WUXGA,Integrated,Integrated,0,68999
ASUS,AMD,Ryzen,5,8,512GB,14,FHD,Integrated,Integrated,0,46990
ASUS,Intel,Core i,i5,16,512GB,16,WUXGA,Integrated,Integrated,0,68990
ASUS,Intel,Core Ultra,9,32,2TB,16,2.5K,Integrated,Integrated,0,399990
ASUS,Intel,Core Ultra,9,32,1TB,16,2.5K,Integrated,Integrated,0,279990
ASUS,Intel,Core Ultra,9,32,2TB,16,2.5K,Integrated,Integrated,0,359990
HP,AMD,Ryzen AI,7,16,512GB,13.3,WQXGA,Integrated,Integrated,0,85990
HP,Intel,Core Ultra,5,16,512GB,14,3K,Integrated,Integrated,0,120000
Samsung,Intel,Core Ultra,7,16,512GB,14,WQXGA+,Integrated,Integrated,0,139990
Samsung,Intel,Core Ultra,5,16,512GB,14,WQXGA+,Integrated,Integrated,0,131990
Samsung,Intel,Core Ultra,5,16,512GB,15.6,FHD,Integrated,Integrated,0,114990
Samsung,Intel,Core Ultra,7,16,512GB,15.6,FHD,Integrated,Integrated,0,122990
Samsung,Intel,Core i,i5    ,16,512GB,13.3,FHD,Integrated,Integrated,0,104990
Lenovo,Intel,Core i,i5,16,512GB,15.6,FHD,Integrated,Integrated,0,88999
Acer,Intel,Core Ultra,5,16,512GB,14,OLED,Integrated,Integrated,0,85990
ASUS,Intel,Core Ultra,5,16,1TB,14,OLED,Integrated,Integrated,0,125990
ASUS,Intel,Core Ultra,5,16,512GB,16,WUXGA,Integrated,Integrated,0,77990
HP,Intel,Core,7,24,1TB,16,2K,Integrated,Integrated,0,137999
Apple,Apple,A18 Pro,None,8,512GB,13,Liquid Retina,No GPU,No GPU,0,73490
Apple,Apple,A18 Pro,None,8,256GB,13,Liquid Retina,No GPU,No GPU,0,66490
Apple,Apple,A18 Pro,None,8,512GB,13,Liquid Retina,No GPU,No GPU,0,73490
Apple,Apple,A18 Pro,None,8,256GB,13,Liquid Retina,No GPU,No GPU,0,66490
Apple,Apple,A18 Pro,None,8,512GB,13,Liquid Retina,No GPU,No GPU,0,73490
Apple,Apple,A18 Pro,None,8,512GB,13,Liquid Retina,No GPU,No GPU,0,73490
Apple,Apple,A18 Pro,None,8,256GB,13,Liquid Retina,No GPU,No GPU,0,66490
Apple,Apple,M5,None,16,512GB,15,Liquid Retina,No GPU,No GPU,0,137990
Apple,Apple,M5,None,16,512GB,15,Liquid Retina,No GPU,No GPU,0,137990
Apple,Apple,M5,None,16,512GB,15,Liquid Retina,No GPU,No GPU,0,137990
Apple,Apple,M5,None,16,512GB,15,Liquid Retina,No GPU,No GPU,0,137990
Apple,Apple,M5,None,16,1TB,13,Liquid Retina,No GPU,No GPU,0,128690
Apple,Apple,M5,None,16,512GB,13,Liquid Retina,No GPU,No GPU,0,109990
Apple,Apple,M5,None,16,512GB,13,Liquid Retina,No GPU,No GPU,0,109990
Apple,Apple,M5,None,16,512GB,13,Liquid Retina,No GPU,No GPU,0,109990
HP,Intel,Core i,i3,8,512GB,15.6,FHD,Integrated,Integrated,0,48999
Apple,Apple,M5,None,16,512GB,13,Liquid Retina,No GPU,No GPU,0,109990
ASUS,AMD,Ryzen AI,5,16,512GB,16,FHD+,Integrated,Integrated,0,81990
Samsung,Intel,Core Ultra,7,32,1TB,16,WQXGA+,Integrated,Integrated,0,219990
