name,processor,ram,storage,display,graphics,prices
AcerAspireLiteThin&LightLaptop,13thGenIntelCorei5,16GBRAM,512GBStorage,15.6Inch(39.62cm)FHDDisplay,IntelUHDGraphics,"63,999"
StoreDisplayUnit-ASUSVivobook15EverydayLaptop,13thGenIntelCorei3,8GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelUHDGraphics,"47,990"
ASUSROGStrixG16GamingLaptop,14thGenIntelCorei7,16GBDDR5RAM,1TBSSD,16Inch(40.64cm)2.5kROGNebulaDisplay,8GBNVIDIAGeForceRTX5050Graphics,"1,91,990"
AcerPredatorHelios16GamingLaptop,14thGenIntelCorei7,16GBDDR5RAM,1TBSSD,16Inch(40.64)WQXGALEDBacklitIPSDisplay,8GBNVIDIAGeForceRTX4070Graphics,"1,81,990"
HPOmniBook5NextGenAILaptop,Snapdragon®XX1-26-100,16GBLPDDR5xRAM,1TBSSD,14Inch(35.6cm)diagonal2KOLEDDisplay,QualcommAdreno™GPU,"74,999"
HPVictusGamingLaptop,13thGenIntelCorei5,16GBDDR4RAM,512GBSSD,15.6Inch(39.6cm)FHDIPSDisplay,4GB-NVIDIAGeForceRTX3050Graphics,"74,499"
LenovoYoga72-in-114IML9Laptop,IntelCoreUltra5125H,16GBLPDDR5xRAM,512GBSSD,14Inch(35.56cm)OLED10-pointMulti-touchDisplay,IntelArcGraphics,"99,999"
LenovoIdeaPadSlim315ABR8Thin&LightLaptop,AMDRyzen7,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)Display,AMDRadeon™Graphics,"67,499"
LenovoIdeaPadSlim315IRH10Thin&LightLaptop,13thGenIntelCorei7,16GBDDR5RAM,512GBSSD,15.3Inch(38.86cm)WUXGADisplay,IntelUHDGraphics,"80,999"
ASUSVivobookS14AIPoweredLightWeightLaptop,IntelCoreUltra5225H,16GBDDR5RAM,512GBSSD,14Inch(35.56cm)WUXGADisplay,IntelAIBoostNPUupto13TOPS,"85,990"
MSIModern15Thin&LightLaptop,13thGenIntelCorei5,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,IntelIrisXeGraphics,"55,990"
MSIModern15Thin&LightLaptop,AMDRyzen7,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,AMDRadeonGraphics,"59,990"
MSIKatanaA15AIGamingLaptop,AMDRyzen9,16GBDDR5RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,NVIDIAGeForceRTX40608GBGraphics,"1,34,990"
ASUSZenbook14OLEDAIPoweredLaptop,IntelCoreUltra7,32GBLPDDR5XRAM,1TBSSD,14Inch(35.56cm)TouchScreen3KOLEDDisplay,Intel®Arc™Graphics,"1,35,990"
ASUSTUFF16GamingLaptop,IntelCorei7,16GBDDR5RAM,1TBSSD,16Inch(40.64cm)FHD+Display,NVIDIARTX50608GBGraphics,"1,73,990"
ASUSROGStrixG16GamingLaptop,AMDRyzen9,16GBDDR5RAM,1TBSSD,16Inch(40.64cm)2.5kROGNebulaDisplay,NVIDIARTX50608GBGraphics,"1,99,990"
ASUSROGStrixG16GamingLaptop,IntelCoreUltra9,16GBDDR5RAM,1TBSSD,16Inch(40.64cm)2.5kROGNebulaDisplay,NVIDIARTX50608GBGraphics,"2,27,990"
ASUSROGStrixG16GamingLaptop,IntelCoreUltra9,32GBDDR5RAM,1TBSSD,16Inch(40.64cm)2.5kROGNebulaDisplay,NVIDIARTX50708GBGraphics,"2,75,990"
AcerAspireLiteAL15-41Laptop,AMDRyzen5,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,AMDRadeonGraphics,"56,999"
AcerAspireLiteAL15-41Laptop,AMDRyzen7,16GBDDR4RAM,512GBSSD,15.6Inch(39.62cm)FullHDDisplay,AMDRadeonGraphics,"64,999"
SamsungGalaxyBook4NotebookLaptop,IntelCore5,16GBLPDDR4XRAM,512GBSSD,15.6Inch(39.62cm)Display,IntelIrisXeGraphics,"84,990"
ASUSVivobook16AIPoweredLaptop,SnapdragonXX126100,16GBLPDDR5XRAM,512GBSSD,16Inch(40.64cm)WUXGADisplay,Qualcomm®Adreno™GPUGraphics,"74,990"
LenovoIdeaPadSlim5Thin&LightLaptop,AMDRyzen7,16GBLPDDR5xRAM,512GBSSD,13.3Inch(33.78cm)WUXGAIPSDisplay,AMDRadeonGraphics,"77,999"
LenovoIdeaPadSlim3Thin&LightLaptop,13thGenIntelCorei5,16GBDDR5RAM,512GBSSD,15.3Inch(38.86cm)WUXGAIPSDisplay,IntelUHDGraphics,"68,999"
ASUSVivobookGo14Laptop,AMDRyzen5,8GBLPDDR5RAM,512GBSSD,14Inch(35.56cm)FHDDisplay,AMDRadeonGraphics,"46,990"
ASUSVivobook16Laptop,IntelCorei5-13420H,16GBDDR4RAM,512GBSSD,16Inch(40.64cm)WUXGADisplay,IntelUHDGraphics,"68,990"
ASUSROGStrixSCAR16GamingLaptop,IntelCoreUltra9275HX,32GBRAM,2TBSSD,16Inch(40.64cm)2.5KWQXGADisplay,16GB-NVIDIAGeForceRTX5080Graphics,"3,99,990"
ASUSROGStrixG16GamingLaptop,IntelCoreUltra9275HX,32GBRAM,1TBSSD,16Inch(40.64cm)2.5KWQXGADisplay,12GB-NVIDIAGeForceRTX5070TiGraphics,"2,79,990"
